1994   26.61   26.60   27.19   27.80   28.00   27.96   27.38   27.40   27.15   27.63   27.79   27.80
1995   27.68   27.64   27.75   28.04   27.89   27.77   27.26   26.50   26.18   26.01   25.87   25.86
1996   25.93   26.10   26.78   27.43   27.46   27.57   27.08   26.58   26.41   26.46   26.35   26.16
1997   26.15   26.53   27.19   28.11   28.74   28.84   28.83   28.81   28.85   29.02   29.08   28.89
1998   29.00   28.84   28.75   28.67   28.55   27.30   26.49   26.04   25.93   25.54   25.43   25.08
1999   25.05   25.35   26.34   26.96   26.99   26.74   26.39   25.89   25.91   25.70   25.24   25.04
2000   24.79   25.23   26.00   26.97   27.07   26.93   26.65   26.52   26.36   26.18   25.91   25.67
2001   25.70   26.13   26.78   27.47   27.57   27.58   27.24   26.80   26.47   26.47   26.37   26.13
2002   26.44   26.76   27.36   27.91   28.07   28.37   27.80   27.57   27.57   27.89   28.06   28.00
2003   27.56   27.40   27.74   27.74   27.34   27.50   27.37   26.92   26.90   27.19   27.05   26.91
2004   26.84   26.93   27.16   27.83   27.96   27.82   27.64   27.54   27.42   27.46   27.27   27.30
2005   27.14   27.02   27.54   28.05   28.16   27.91   27.22   26.83   26.67   26.59   26.21   25.83
2006   25.60   26.05   26.53   27.47   27.76   27.78   27.25   27.25   27.38   27.49   27.64   27.69
2007   27.17   26.88   27.11   27.61   27.47   27.52   26.86   26.31   25.71   25.33   25.07   24.98
2008   24.79   25.07   26.09   26.88   27.22   27.24   27.19   26.83   26.47   26.43   26.29   25.69
2009   25.58   26.05   26.54   27.52   28.04   28.17   27.91   27.49   27.43   27.69   28.15   28.40
2010   28.00   27.94   28.33   28.33   27.72   27.07   26.34   25.55   25.19   25.08   25.08   24.95
2011   24.88   25.50   26.27   27.03   27.34   27.43   27.00   26.22   25.99   25.81   25.56   25.54
2012   25.65   26.15   26.78   27.48   27.69   27.82   27.66   27.54   27.19   26.96   26.98   26.45
2013   26.16   26.36   27.12   27.69   27.59   27.36   26.94   26.59   26.66   26.49   26.64   26.50
2014   26.16   26.31   27.19   28.05   28.32   28.16   27.36   27.02   27.12   27.22   27.54   27.36
2015   27.17   27.34   27.73   28.67   28.90   28.96   28.78   28.75   28.76   28.94   29.23   29.14
2016   29.14   28.87   28.86   28.82   28.32   27.75   26.97   26.40   26.29   25.99   26.02   26.07
2017   26.24   26.75   27.17   27.99   28.17   27.91   27.44   26.69   26.20   26.21   25.81   25.74
